account_id,system_question_category_id,content_question,meta_description,content_question_id,content_answer,privacy,parameterize_name
1,4,How do i apply for an LTA transaction pin online?,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for... read more answers",2,"1. Go to https://www.onemotoring.com.sg, click on top right corner to change to old site 2. On the top menu, click on ""Log In"", then ""Singpass""  2. Once you have login with your Singpass, on the top menu click on ""My Account"", then ""Transaction PIN"", then ""Request for PIN""  3. Select ""Vehicle"" under Asset Type and Vehicle No, then click ""I Agree""  4. Check ""I confirm that my registered address as stated above is correct"", then click ""Confirm""  You should be receiving your transaction PIN by post at your registered address within the next 3 to 5 working days.",1,general
1,4,How do i apply for an LTA transaction pin online?,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for... read more answers",2,"From 26 November 2018 onwards, the Land Transport Authority (LTA) will be doing away with Transactions Pins (TPINs) for the following LTA vehicle-related transactions: Transfer of Vehicle Ownership, Transfer of TCOE, Transfer of Rebate, and the Deregistration of Vehicle.  Now, instead of the TPIN, vehicle owners and businesses will need to use their SingPass/CorpPass 2FA to confirm and complete these transactions.  www.motorist.sg/article/310/lta-singpass-vehicle-transfer-and-deregistration-a-step-by-step-guide  Above is a comprehensive step-by-step article on how to perform LTA vehicle-related transactions with your SingPass/CorpPass.",1,general
1,4,How to do a transfer of ownership between a direct buyer and seller?,Required Documents: 1. Buyer and seller will have to complete a transfer of vehicle application form (M01) http://www.... read more answers,27,"Required Documents: 1. Buyer and seller will have to complete a transfer of vehicle application form (M01) http://www.onemotoring.com.sg/publish/onemotoring/en/lta_information_guidelines/forms_download0.MainPar.15985.collapsePar.67710.File.tmp/M01.pdf 2. Physical NRIC of both buyer and seller is required 3. Original motor insurance certificate in buyer's name. Kindly ensure that the insurance policy is already in force at time of transfer 4. Original and valid vehicle inspection certificate, if vehicle inspection is required prior to the renewal of road tax  Notes: 1. If there is loan on vehicle, full settlement has to be done prior to transfer 2. There is a transfer fee of $11  You can proceed to do a transfer of ownership at Land Transport Authority (LTA) located at 10 Sin Ming Drive.  It would be useful for you to have a read on this article on what to take note of before selling your car to a direct buyer: https://bit.ly/2HUqgHI",1,general
1,3,What is the process if i accept your exporter's offer?,"If you are keen on the offer from our exporter, the next step is to provide us with your preferred location, date and t... read more answers",29,"If you are keen on the offer from our exporter, the next step is to provide us with your preferred location, date and time in order for us to arrange an appointment for the exporter to view your vehicle. And if possible, do advise us on your handover date too.    Exporters will make payment to you either via Cash or Cashier\'s order after agreement is made. Do note that the payment will be made only after settling your balance loan payment if there is any.  Before the appointment date, it is advisable for you to obtain the ""Transaction Pin"" either from LTA located at Sin Ming Road or do it online via Onemotoring. Do note that if you request the pin online, it will take around 4-5 working days for the pin to arrive at your residential address.",1,scrap-export-car
1,3,Can i get a refund of the unused portion of my insurance premium if i scrap car before my COE expires?,Different motor insurers have different methods of computing refund. Usually it will be (80% of premium) x unexpired pe... read more answers,30,Different motor insurers have different methods of computing refund. Usually it will be (80% of premium) x unexpired period of insurance (days) / original period of insurance (days). No refund if amount is less than $25.  You can check with your insurer if there is any refund on your unused insurance premium.,1,scrap-export-car
1,3,Does your offer price for my car includes the road tax rebate?,"Yes. All offered price is inclusive of PARF, COE, road tax and body value. You can check with your insurer if there is ... read more answers",32,"Yes. All offered price is inclusive of PARF, COE, road tax and body value. You can check with your insurer if there is any rebate on your unused insurance premium.",1,scrap-export-car
1,3,What to do if my vehicle is not in working condition?,Our exporter will arrange for a tow-truck to tow the vehicle is there is a successful transaction. However the cost of ... read more answers,33,Our exporter will arrange for a tow-truck to tow the vehicle is there is a successful transaction. However the cost of towing will be deduct from the offered price.,1,scrap-export-car
1,4,How do i retain my old car plate to be used on my new vehicle?,You can apply to retain the carplate of your vehicle before the vehicle is de-registered. All outstanding fees/taxes/ch... read more answers,34,"You can apply to retain the carplate of your vehicle before the vehicle is de-registered. All outstanding fees/taxes/charges (if any) must be settled first.   A retained number is non-transferable. The vehicle owner can use the retained number to: (a) Register a new vehicle in his/her name at $100; or (b) Replace the registration number on an existing vehicle registered in his/her name at $1,300.  Once a vehicle registration number is retained, it cannot be cancelled and any fee paid is non-refundable. The retained number is valid for 12 months from the date of approval of the retention application.  Retention can be done either at LTA or at Onemotoring.com.sg under e-services.   Source: http://www.onemotoring.com.sg/publish/onemotoring/en/lta_information_guidelines/de_register_a_vehicle/retain_number.html",1,general
1,1,"In the event that the vehicle owner has passed away, what is the procedure to sell the vehicle?","Upon the death of a person, called a deceased, the Personal Representatives of the deceased will need to apply for a Gr... read more answers",35,"Upon the death of a person, called a deceased, the Personal Representatives of the deceased will need to apply for a Grant of Probate (if there is a Will) or Grant of Letters of Administration (in Intestacy) that will authorize them to deal with and distribute the deceased's assets.  With the authorization letter, the representative can then proceed to LTA to de-register the vehicle or sell it over to the dealers.",1,sell-car
1,14,How do I bid for a COE to renew the COE of my existing vehicle?,"You do not need to bid for a COE for COE renewal. To renew the COE for your existing vehicle for another 10 years, pay ... read more answers",36,"You do not need to bid for a COE for COE renewal. To renew the COE for your existing vehicle for another 10 years, pay the PQP. To renew the COE for another 5 years, pay 50% of the PQP.  Prevailing Quota Premium (PQP) is the moving average of the COE prices (QPs) in the last 3 months.  You can renew your COE online via https://vrl.lta.gov.sg/lta/vrl/action/pubfunc?ID=RenewCOE",1,coe-renewal
1,4,What would be the procedure to re-license my vehicle that i have laid up?,Vehicle owners who are not using their vehicle for a period of time can apply to the Land Transport Authority (LTA) to ... read more answers,37,"Firstly, you need to apply for a new motor insurance coverage for the vehicle. Then, if the vehicle is due for inspection you will need to tow the vehicle to any inspection centre. Once the vehicle is certified, you can proceed to renew your road tax.",1,general
1,4,What would be the procedure to re-license my vehicle that i have laid up?,Vehicle owners who are not using their vehicle for a period of time can apply to the Land Transport Authority (LTA) to ... read more answers,37,"Vehicle owners who are not using their vehicle for a period of time can apply to the Land Transport Authority (LTA) to place their vehicle under lay-up status for up to 1 year (and can be renewed yearly for up to 3 consecutive years). During the period, where the vehicle is laid-up, the vehicle cannot be driven on public roads and is required to be garaged at its reported garage address. Please inform LTA in writing prior to any change of garage address, as it is an offence not to do so. If the vehicle is not re-licensed by the third year, the vehicle will be deregistered at the end of the third year.  Please note that there will be no backdating of lay-up commencement date. Any outstanding road tax and applicable late payment fee before the lay-up commencement date is payable.  For your further information that, if the vehicle is eligible for Preferential Additional Registration Fee (PARF), it will lose its PARF eligibility once the vehicle is placed under lay-up status.  A lay-up vehicle must pass a vehicle inspection at any LTA-authorised inspection centre before it could be re-licensed. Once the vehicle has fulfilled all the road tax pre-requisite(s), i.e. has valid motor insurance and passed vehicle inspection, you may re-license the vehicle at any of the following channels: -  Internet (www.onemotoring.com.sg) AXS Stations iNETS Kiosks LTA-authorised Road Tax Collection Centres",1,general
1,10,Do I need to notify LTA if I were to change my vehicle colour?,This answer is not correct No such options ,39,"You will need to submit for a notification of change of vehicle colour.  1. Go to http://www.onemotoring.com.sg, on the top menu, click on ""Log In"", then ""Singpass""  2. Once you have login with your Singpass, click the ""Vehicle Hub"" on the left side, then on the top menu click on ""Ownership"", then ""Vehicle Scheme/Specifications"", tick the box to agree the Terms and Conditions and click ""Next"", then ""Amend my vehicle specifications""",1,car-customization
1,10,Do I need to notify LTA if I were to change my vehicle colour?,This answer is not correct No such options ,39,This answer is not correct No such options,1,car-customization
1,4,What is the procedure to convert Bi-fuel Vehicle(CNG) to a petrol-only vehicle?,1. You will need to submit an application form called R18 (APPLICATION FOR REMOVAL OF CNG SYSTEM FROM VEHICLE) to LTA ... read more answers,40,"1. You will need to submit an application form called R18 (APPLICATION FOR REMOVAL OF CNG SYSTEM FROM VEHICLE) to LTA which can be found in the following link: http://www.onemotoring.com.sg/publish/onemotoring/en/lta_information_guidelines/forms_download0.MainPar.48259.collapsePar.34222.File.tmp/R18.pdf Note: There is an admin fee of $21.40  2. You will have to also check on Green Vehicle Rebate top-up amount payable to convert your Petrol-CNG vehicle to Petrol vehicle. To check on the amount payable, kindly proceed to this link: https://vrl.lta.gov.sg/lta/vrl/action/pubfunc?ID=EnquireGVRTopupAmt  3. Upon successful amendment of the vehicle specifications, vehicle owner must remove the CNG system and pass a vehicle inspection within 10 calendar days. Removal of CNG system can be removed at LTA appointed CNG workshop. You may get the details from LTA.   Vehicle owner / CNG System supplier/installer will need to submit the following information through LTA\xe2\x80\x99s Vehicle Inspection and Type Approval System (VITAS) under the \xe2\x80\x9cChange of Vehicle Particulars Inspection (with VE Approval)\xe2\x80\x9d electronically with a processing fee of $64.20 (inclusive of GST):  i. a completed Change of Vehicle Particular (CVP) application form by the registered vehicle owner to remove the CNG system. The form can be downloaded from our VITAS website at http://www.vicom.com.sg/Portals/0/After-market%20exhaust%20Checklist.pdf; ii. certification from the CNG system supplier that the CNG system has been removed according to the product manufacturer\xe2\x80\x99s recommendation with sound engineering practice and does not adversely affect the safe operation and/or exhaust emissions characteristics of the vehicle and affected parts on the vehicle (e.g. intake manifold, drilled boot space, etc) are restored to its original condition; iii. certification from the CNG system supplier that the used CNG system has been properly disposed of; iv. invoice for the works; and v. the notification letter issued by LTA on the successful amendment of the vehicle specifications. Upon receiving the VITAS approval, send the the vehicle for inspection at any of the LTA-authorised vehicle inspection centres (AIC). AIC will issue an acknowledgement letter when the vehicle passes the inspection. Please note that an inspection fee will be payable to the AIC.",1,general
1,1,What happens If my loan amount is more than what the dealer quoted?,"If you are still keen on letting go of your vehicle and accepted the offer, you will have to top-up the differences (Ou... read more answers",41,"If you are still keen on letting go of your vehicle and accepted the offer, you will have to top-up the differences (Outstanding loan - Offer price).",1,sell-car
1,4,Will my vehicle value drop If i change the colour of my vehicle?,Changing colour of your vehicle might affect the resale value if it is not a generally acceptable colour. When used car... read more answers,42,"Changing colour of your vehicle might affect the resale value if it is not a generally acceptable colour. When used car dealers offer for your vehicle, they will need to deduct a costing to respray the whole vehicle to a more popular colour.",1,general
1,4,How do I renew my vehicle road tax?,Firstly you will need to ensure that the insurance of the motor vehicle covers the full period of the new road tax.  If... read more answers,43,"Firstly you will need to ensure that the insurance of the motor vehicle covers the full period of the new road tax.  If its not, you will have to call up your insurance company to request for an extension.  Next send your vehicle for inspection at one of the authorized inspection centres, if your vehicle is due for its statutory inspection. Weekend/Off-Peak/Revised Off-Peak Car must be sent for a number plate seal inspection before renewal of road tax. A certificate will be issued once your vehicle has passed its inspection.  Do ensure the vehicle has no outstanding warrants from HDB/URA/Traffic Police.  Renew your road tax through one of the following channels: Internet (via https://vrl.lta.gov.sg/lta/vrl/action/pubfunc?ID=RoadTaxEnquiry) AXS Stations iNETS Kiosks",1,general
1,1,I have decided not to proceed with the sale of my vehicle after signing the dealer\xe2\x80\x99s purchase agreement. Can i still break the contract if i return the deposit?,"Yes you can break the contract, but you are subjected for any liability on the terms and condition stated in the agreem... read more answers",44,"Yes you can break the contract, but you are subjected for any liability on the terms and condition stated in the agreement you have signed. Usual practice will be a penalty of 2 times the deposit paid.",1,sell-car
